sid,time,lat,lon,umax,press,u24_past,mov_angle,mov_speed,u_st,v_st,ws_200,owz_500,owz_850,rh_700,rh_925,sph_925
2000245N14157,2000-09-08 12:00:00,19.7,139.6,29.835201,980.0,5.144001007080078,5.528602600097656,12.735991477966309,-5.884602473332332,7.453853900615986,10.770329475402832,405.56219482421875,360.4299621582031,72.00001525878906,88.00001525878906,0.015400001779198647
2000245N14157,2000-09-08 18:00:00,20.5,138.29999,29.835201,980.0,5.144001007080078,5.261702060699463,14.24753189086914,-3.4499940138596754,4.453849205603967,6.72681188583374,442.5724182128906,448.9496765136719,70.00001525878906,93.00001525878906,0.01658000238239765
2000245N14157,2000-09-09 00:00:00,20.9,137.4,32.9216,975.0,3.0863990783691406,5.204782485961914,7.858711242675781,-0.7846051729642428,4.411549494816707,6.3031768798828125,427.70233154296875,434.3323059082031,58.00001525878906,93.00001525878906,0.016680002212524414
2000245N14157,2000-09-09 06:00:00,21.6,136.70001,34.979202,970.0,5.144001007080078,5.674569129943848,9.0413236618042,-7.849987323467548,8.1038571871244,5.799997806549072,316.2001037597656,333.7099304199219,57.00001525878906,89.00001525878906,0.017090000212192535
2000245N14157,2000-09-09 12:00:00,22.3,136.20001,44.7528,955.0,11.831199645996094,5.676882743835449,9.026937484741211,-6.36921867957482,-1.3846036470853365,3.689178466796875,485.2223205566406,339.65240478515625,65.00001525878906,87.00001525878906,0.016500001773238182
2000245N14157,2000-09-09 18:00:00,23.3,135.20001,49.8968,940.0,14.917598724365234,5.541048526763916,12.592181205749512,-2.592298067533053,2.730778620793269,5.7775468826293945,463.6023254394531,459.4423522949219,71.00001525878906,87.00001525878906,0.0171200018376112
2000245N14157,2000-09-10 00:00:00,23.9,134.20001,54.5264,930.0,9.773601531982422,5.126291275024414,9.25301742553711,-10.265377338115986,5.957699115459736,7.5584516525268555,566.8526000976562,385.362548828125,68.00001525878906,94.00001525878906,0.016860000789165497
2000245N14157,2000-09-10 06:00:00,24.2,133.0,59.670403,920.0,9.773601531982422,4.895190238952637,10.314241409301758,-8.519220792330229,-5.269217857947717,4.494440078735352,454.8099365234375,564.0401000976562,74.00001525878906,92.00001525878906,0.01787000149488449
2000245N14157,2000-09-10 12:00:00,24.2,132.29999,59.670403,920.0,5.144001007080078,4.7134623527526855,5.071465015411377,-9.280760544996996,-1.2461453951322115,3.8052632808685303,473.5699157714844,633.6221923828125,84.00001525878906,97.00001525878906,0.018380001187324524
2000245N14157,2000-09-10 18:00:00,24.4,131.9,59.670403,920.0,0.0,5.215005874633789,3.8520898818969727,-8.234601534329927,1.6769315279447115,4.669051170349121,578.8500366210938,714.7224731445312,82.00001525878906,100.00001525878906,0.018720000982284546
2000245N14157,2000-09-11 00:00:00,24.8,131.5,59.670403,920.0,0.0,5.546375751495361,5.007853984832764,-10.549988966721754,3.3076999370868387,7.7820281982421875,708.9899291992188,588.3396606445312,91.00001525878906,100.00001525878906,0.018950000405311584
2000245N14157,2000-09-11 06:00:00,25.3,130.79999,54.5264,930.0,-5.144001007080078,5.21867036819458,7.663785934448242,-6.053837115948017,-5.526914743276743,5.303772449493408,636.2225341796875,690.1224365234375,86.00001525878906,100.00001525878906,0.02014000155031681
2000245N14157,2000-09-11 12:00:00,25.5,130.29999,54.5264,930.0,-5.144001007080078,5.067122459411621,5.3516669273376465,-5.388455904447115,-4.676912161020132,7.286290645599365,819.8197631835938,904.4505615234375,95.00001525878906,100.00001525878906,0.02014000155031681
